Дата,Час,Код цифровий,Код літерний,Кількість одиниць,Назва валюти,"Офіційний курс гривні, грн"
04.05.2001,00.00,978,EUR,100,Євро,482.1598
05.05.2001,00.00,978,EUR,100,Євро,484.1005
06.05.2001,00.00,978,EUR,100,Євро,484.1005
07.05.2001,00.00,978,EUR,100,Євро,484.1005
08.05.2001,00.00,978,EUR,100,Євро,482.9639
09.05.2001,00.00,978,EUR,100,Євро,480.0318
10.05.2001,00.00,978,EUR,100,Євро,480.0318
11.05.2001,00.00,978,EUR,100,Євро,479.1656
12.05.2001,00.00,978,EUR,100,Євро,474.9264
13.05.2001,00.00,978,EUR,100,Євро,474.9264
14.05.2001,00.00,978,EUR,100,Євро,474.9264
15.05.2001,00.00,978,EUR,100,Євро,473.3669
16.05.2001,00.00,978,EUR,100,Євро,474.5855
17.05.2001,00.00,978,EUR,100,Євро,478.1403
18.05.2001,00.00,978,EUR,100,Євро,477.0942
19.05.2001,00.00,978,EUR,100,Євро,475.0288
20.05.2001,00.00,978,EUR,100,Євро,475.0288
21.05.2001,00.00,978,EUR,100,Євро,475.0288
22.05.2001,00.00,978,EUR,100,Євро,473.7927
23.05.2001,00.00,978,EUR,100,Євро,470.0409
24.05.2001,00.00,978,EUR,100,Євро,464.6288
25.05.2001,00.00,978,EUR,100,Євро,465.6141
26.05.2001,00.00,978,EUR,100,Євро,464.9879
27.05.2001,00.00,978,EUR,100,Євро,464.9879
28.05.2001,00.00,978,EUR,100,Євро,464.9879
29.05.2001,00.00,978,EUR,100,Євро,464.609
30.05.2001,00.00,978,EUR,100,Євро,463.1592
31.05.2001,00.00,978,EUR,100,Євро,463.4328
01.06.2001,00.00,978,EUR,100,Євро,459.1835
02.06.2001,00.00,978,EUR,100,Євро,459.0583
03.06.2001,00.00,978,EUR,100,Євро,459.0583
04.06.2001,00.00,978,EUR,100,Євро,459.0583
05.06.2001,00.00,978,EUR,100,Євро,459.0583
06.06.2001,00.00,978,EUR,100,Євро,458.312
07.06.2001,00.00,978,EUR,100,Євро,462.5095
08.06.2001,00.00,978,EUR,100,Євро,458.3577
09.06.2001,00.00,978,EUR,100,Євро,458.2543
10.06.2001,00.00,978,EUR,100,Євро,458.2543
11.06.2001,00.00,978,EUR,100,Євро,458.2543
12.06.2001,00.00,978,EUR,100,Євро,459.4914
13.06.2001,00.00,978,EUR,100,Євро,458.2909
14.06.2001,00.00,978,EUR,100,Євро,461.8659
15.06.2001,00.00,978,EUR,100,Євро,458.8143
16.06.2001,00.00,978,EUR,100,Євро,467.9992
17.06.2001,00.00,978,EUR,100,Євро,467.9992
18.06.2001,00.00,978,EUR,100,Євро,467.9992
19.06.2001,00.00,978,EUR,100,Євро,463.3568
20.06.2001,00.00,978,EUR,100,Євро,461.9482
21.06.2001,00.00,978,EUR,100,Євро,458.9529
22.06.2001,00.00,978,EUR,100,Євро,460.9528
23.06.2001,00.00,978,EUR,100,Євро,459.3778
24.06.2001,00.00,978,EUR,100,Євро,459.3778
25.06.2001,00.00,978,EUR,100,Євро,459.3778
26.06.2001,00.00,978,EUR,100,Євро,463.4267
27.06.2001,00.00,978,EUR,100,Євро,463.4096
28.06.2001,00.00,978,EUR,100,Євро,464.105
29.06.2001,00.00,978,EUR,100,Євро,464.105
30.06.2001,00.00,978,EUR,100,Євро,456.4614
01.07.2001,00.00,978,EUR,100,Євро,456.4614
